2007-10-15,30.0,30.100000381469727,47150500,30.329999923706055,30.040000915527344,21.980392456054688,MSFT
2007-10-15,15.33128547668457,15.902145385742188,278793083,15.93676471710205,15.44485855102539,15.44485855102539,GOOG
2007-10-16,30.229999542236328,30.239999771118164,56286200,30.579999923706055,30.31999969482422,22.18526840209961,MSFT
2007-10-16,15.242616653442385,15.40450954437256,241915372,15.589566230773926,15.342493057250977,15.342493057250977,GOOG
2007-10-17,30.649999618530273,30.75,86092400,31.229999542236328,31.079999923706055,22.74135398864746,MSFT
2007-10-17,15.48172092437744,15.702393531799316,242124152,15.790811538696287,15.777860641479492,15.777860641479492,GOOG
2007-10-18,30.6299991607666,31.219999313354492,49208600,31.229999542236328,31.15999984741211,22.799894332885746,MSFT
2007-10-18,15.653825759887695,15.82593059539795,493410518,15.974373817443848,15.930787086486816,15.930787086486816,GOOG
2007-10-19,30.11000061035156,31.09000015258789,75200200,31.09000015258789,30.170000076293945,22.07550811767578,MSFT
2007-10-19,16.020700454711914,16.302892684936523,633927242,16.400775909423828,16.05756187438965,16.05756187438965,GOOG
2007-10-22,15.847599029541016,15.907126426696776,267575192,16.313852310180664,16.207998275756836,16.207998275756836,GOOG
2007-10-22,30.1200008392334,30.1200008392334,58785100,30.700000762939453,30.510000228881836,22.32428550720215,MSFT
2007-10-23,16.438385009765625,16.469518661499023,272766578,16.876741409301758,16.83116340637207,16.83116340637207,GOOG
2007-10-23,30.709999084472656,30.709999084472656,49956200,31.1200008392334,30.899999618530273,22.609649658203125,MSFT
2007-10-24,30.5,30.850000381469727,77979200,31.299999237060547,31.25,22.865737915039062,MSFT
2007-10-24,16.427425384521484,16.754947662353516,297278110,16.873504638671875,16.832408905029297,16.832408905029297,GOOG
2007-10-25,16.52680206298828,16.903640747070312,232688918,16.910863876342773,16.650339126586914,16.650339126586914,GOOG
2007-10-25,31.489999771118164,31.56999969482422,169588700,32.220001220703125,31.989999771118164,23.407209396362305,MSFT
2007-10-26,16.639131546020508,16.787824630737305,134658850,16.850341796875,16.80202293395996,16.80202293395996,GOOG
2007-10-26,34.560001373291016,36.0099983215332,288121200,36.029998779296875,35.029998779296875,25.6315860748291,MSFT
2007-10-29,16.739505767822266,16.8809757232666,123111730,16.9365177154541,16.917339324951172,16.917339324951172,GOOG
2007-10-29,34.45000076293945,34.849998474121094,114655600,35.290000915527344,34.56999969482422,25.295007705688477,MSFT
2007-10-30,34.349998474121094,34.369998931884766,107297300,35.59000015258789,35.56999969482422,26.026710510253903,MSFT
2007-10-30,16.874500274658203,16.874500274658203,277058606,17.432409286499023,17.30438995361328,17.30438995361328,GOOG
2007-10-31,35.5099983215332,35.52000045776367,185635800,37.0,36.810001373291016,26.934024810791016,MSFT
2007-10-31,17.33601951599121,17.45183563232422,276103037,17.608997344970703,17.608997344970703,17.608997344970703,GOOG
2007-11-01,36.36000061035156,36.529998779296875,152078800,37.4900016784668,37.060001373291016,27.116941452026367,MSFT
