4180817,2005-04-29 11:45:00,BATTERY,-87.652981574,41.877853076
4074615,2005-04-29 12:49:27,NARCOTICS,-87.664593068,41.865100146
4075279,2005-04-29 14:30:40,NARCOTICS,-87.762094775,41.89384563
4051162,2005-04-29 20:00:00,NARCOTICS,-87.57214578,41.715260407
4047226,2005-04-29 22:00:00,THEFT,-87.765883457,41.908562568
4044911,2005-04-30 07:30:00,PROSTITUTION,-87.691787056,41.809135012
4045105,2005-04-30 10:07:11,NARCOTICS,-87.715491262,41.905481415
4045195,2005-04-30 10:50:00,NARCOTICS,-87.71163652,41.862041146
4078830,2005-04-30 17:56:17,NARCOTICS,-87.704540119,41.861316449
4046847,2005-04-30 20:25:00,NARCOTICS,-87.723771046,41.85993274
4050844,2005-04-30 22:00:00,NARCOTICS,-87.733572569,41.878774252
4067294,2005-05-01 10:45:00,NARCOTICS,-87.658709963,41.755149177
4068499,2005-05-01 18:50:00,NARCOTICS,-87.71177718,41.905873007
4051917,2005-05-01 21:00:00,CRIMINAL DAMAGE,-87.701452097,41.84758918
4047006,2005-05-01 22:32:39,NARCOTICS,-87.566327248,41.756707398
4049989,2005-05-02 19:30:00,NARCOTICS,-87.659901672,41.800648316
4053031,2005-05-02 20:10:00,NARCOTICS,-87.654801056,41.967501186
4050563,2005-05-02 20:35:00,NARCOTICS,-87.617018294,41.824898025
4074195,2005-05-02 20:35:56,NARCOTICS,-87.690743302,41.903943288
4057456,2005-05-03 18:54:01,GAMBLING,-87.713681395,41.858989606
4054678,2005-05-03 18:58:17,NARCOTICS,-87.624258824,41.801460197
4056074,2005-05-03 19:05:18,NARCOTICS,-87.711898014,41.88090655
4056166,2005-05-03 19:27:40,NARCOTICS,-87.62047443,41.676839664
4049231,2005-05-03 20:15:00,NARCOTICS,-87.74817614,41.884414928
4052943,2005-05-04 11:50:00,NARCOTICS,-87.623989486,41.681084948
4059597,2005-05-04 12:50:15,NARCOTICS,-87.719780758,41.888723385
4131699,2005-05-04 13:42:00,NARCOTICS,-87.748129509,41.875841653
4059069,2005-05-04 13:43:00,NARCOTICS,-87.736067119,41.877851463
4062599,2005-05-04 21:00:00,NARCOTICS,-87.829242212,41.949437126
4062696,2005-05-04 21:45:44,NARCOTICS,-87.669491958,42.019809042
4045418,2005-05-05 17:15:00,DECEPTIVE PRACTICE,-87.649830083,41.932702543
4053994,2005-05-05 19:30:00,NARCOTICS,-87.673398869,41.894152274
4089707,2005-05-06 00:00:00,DECEPTIVE PRACTICE,-87.60647453,41.805366666
4058789,2005-05-06 11:00:00,NARCOTICS,-87.731306272,41.876105959
4058800,2005-05-06 11:12:00,NARCOTICS,-87.675428114,41.885028339
4062197,2005-05-06 11:45:00,PROSTITUTION,-87.65994406,41.979142181
4065366,2005-05-06 21:45:00,NARCOTICS,-87.707588349,41.910109309
4069141,2005-05-07 01:08:00,NARCOTICS,-87.666476512,41.806765255
4063486,2005-05-07 03:00:00,PROSTITUTION,-87.649275005,41.94028151
4081443,2005-05-07 07:00:00,NARCOTICS,-87.905227221,41.976290414
4052033,2005-05-07 12:00:00,DECEPTIVE PRACTICE,-87.781945407,41.928149574
